Age,Gender,BusinessTravel,Job Function,Distance Between Company and Home (KM),"Education (1 is lowest, 5 is highest)","Job Satisfaction (1 is lowest, 4 is highest)",MaritalStatus,Salary ($),"Performance Rating (1 is lowest, 4 is highest)","Work Life Balance (1 is worst, 4 is best)",Length of Service (Years),Resign Status
41,Female,Travel_Rarely,Sales,1,2,4,Single,5993,3,1,6,Yes
49,Male,Travel_Frequently,Research & Development,8,1,2,Married,5130,4,3,10,No
37,Male,Travel_Rarely,Research & Development,2,2,3,Single,2090,3,3,0,Yes
33,Female,Travel_Frequently,Research & Development,3,4,3,Married,2909,3,3,8,No
27,Male,Travel_Rarely,Research & Development,2,1,2,Married,3468,3,3,2,No
32,Male,Travel_Frequently,Research & Development,2,2,4,Single,3068,3,2,7,No
59,Female,Travel_Rarely,Research & Development,3,3,1,Married,2670,4,2,1,No
30,Male,Travel_Rarely,Research & Development,24,1,3,Divorced,2693,4,3,1,No
38,Male,Travel_Frequently,Research & Development,23,3,3,Single,9526,4,3,9,No
36,Male,Travel_Rarely,Research & Development,27,3,3,Married,5237,3,2,7,No
35,Male,Travel_Rarely,Research & Development,16,3,2,Married,2426,3,3,5,No
29,Female,Travel_Rarely,Research & Development,15,2,3,Single,4193,3,3,9,No
31,Male,Travel_Rarely,Research & Development,26,1,3,Divorced,2911,3,2,5,No
34,Male,Travel_Rarely,Research & Development,19,2,4,Divorced,2661,3,3,2,No
28,Male,Travel_Rarely,Research & Development,24,3,3,Single,2028,3,3,4,Yes
29,Female,Travel_Rarely,Research & Development,21,4,1,Divorced,9980,3,3,10,No
32,Male,Travel_Rarely,Research & Development,5,2,2,Divorced,3298,3,2,6,No
22,Male,Non-Travel,Research & Development,16,2,4,Divorced,2935,3,2,1,No
53,Female,Travel_Rarely,Sales,2,4,4,Married,15427,3,3,25,No
38,Male,Travel_Rarely,Research & Development,2,3,4,Single,3944,3,3,3,No
24,Female,Non-Travel,Research & Development,11,2,3,Divorced,4011,3,2,4,No
36,Male,Travel_Rarely,Sales,9,4,1,Single,3407,4,3,5,Yes
34,Female,Travel_Rarely,Research & Development,7,4,2,Single,11994,3,3,12,No
21,Male,Travel_Rarely,Research & Development,15,2,4,Single,1232,3,3,0,No
34,Male,Travel_Rarely,Research & Development,6,1,1,Single,2960,3,3,4,Yes
53,Female,Travel_Rarely,Research & Development,5,3,3,Divorced,19094,3,2,14,No
32,Female,Travel_Frequently,Research & Development,16,1,1,Single,3919,4,3,10,Yes
42,Male,Travel_Rarely,Sales,8,4,2,Married,6825,3,3,9,No
44,Female,Travel_Rarely,Research & Development,7,4,4,Married,10248,3,3,22,No
46,Female,Travel_Rarely,Sales,2,4,1,Single,18947,3,2,2,No
33,Male,Travel_Rarely,Research & Development,2,3,4,Single,2496,3,3,1,No
44,Male,Travel_Rarely,Research & Development,10,4,4,Married,6465,3,4,4,No
30,Male,Travel_Rarely,Research & Development,9,2,3,Single,2206,3,3,10,No
39,Male,Travel_Rarely,Sales,5,3,4,Married,2086,3,4,1,Yes
24,Male,Travel_Rarely,Research & Development,1,3,4,Married,2293,3,2,2,Yes
43,Female,Travel_Rarely,Research & Development,2,2,3,Divorced,2645,3,2,5,No
50,Male,Travel_Rarely,Sales,3,2,3,Married,2683,3,3,3,Yes
35,Female,Travel_Rarely,Sales,2,3,4,Married,2014,3,3,2,No
36,Female,Travel_Rarely,Research & Development,5,4,1,Married,3419,3,4,1,No
33,Female,Travel_Frequently,Sales,1,3,1,Married,5376,3,3,5,No
35,Male,Travel_Rarely,Research & Development,4,2,4,Divorced,1951,3,3,1,No
27,Female,Travel_Rarely,Research & Development,2,4,1,Divorced,2341,3,3,1,No
26,Male,Travel_Rarely,Research & Development,25,3,3,Single,2293,3,2,1,Yes
27,Male,Travel_Frequently,Sales,8,3,3,Single,8726,3,3,9,No
30,Female,Travel_Frequently,Research & Development,1,2,4,Single,4011,4,3,12,No
41,Female,Travel_Rarely,Research & Development,12,3,3,Married,19545,3,3,22,Yes
34,Male,Non-Travel,Sales,23,4,3,Single,4568,4,3,9,No
37,Male,Travel_Rarely,Research & Development,19,2,2,Married,3022,4,3,1,No
46,Male,Travel_Frequently,Sales,5,4,4,Single,5772,4,3,9,No
35,Male,Travel_Rarely,Research & Development,8,1,4,Married,2269,3,3,1,No
48,Male,Travel_Rarely,Research & Development,1,2,3,Single,5381,3,3,1,Yes
28,Male,Travel_Rarely,Research & Development,5,4,3,Single,3441,3,2,2,Yes
44,Female,Travel_Rarely,Sales,1,5,1,Divorced,5454,4,2,4,No
35,Male,Non-Travel,Research & Development,11,2,1,Married,9884,3,3,4,No
26,Female,Travel_Rarely,Sales,23,3,4,Married,4157,3,2,2,No
33,Female,Travel_Frequently,Research & Development,1,2,4,Single,13458,3,3,15,No
35,Male,Travel_Frequently,Sales,18,5,1,Married,9069,4,2,9,No
35,Female,Travel_Rarely,Research & Development,23,4,1,Married,4014,3,3,2,No
31,Male,Travel_Rarely,Research & Development,7,4,4,Divorced,5915,4,2,7,No
37,Male,Travel_Rarely,Research & Development,1,4,3,Divorced,5993,3,4,7,No
32,Male,Travel_Rarely,Research & Development,1,3,4,Married,6162,4,3,9,No
38,Female,Travel_Frequently,Research & Development,29,5,4,Single,2406,3,3,10,No
50,Female,Travel_Rarely,Research & Development,7,2,3,Divorced,18740,3,2,27,No
59,Female,Travel_Rarely,Sales,25,3,1,Single,7637,3,2,21,No
36,Female,Travel_Rarely,Research & Development,8,3,3,Divorced,10096,3,3,17,No
55,Female,Travel_Rarely,Research & Development,8,3,3,Divorced,14756,3,3,5,No
36,Male,Travel_Frequently,Research & Development,11,3,2,Single,6499,3,3,6,No
45,Male,Travel_Rarely,Research & Development,7,3,1,Divorced,9724,3,3,1,No
35,Male,Travel_Frequently,Research & Development,1,3,1,Married,2194,3,2,3,No
36,Male,Travel_Rarely,Research & Development,9,3,3,Married,3388,3,2,1,Yes
59,Female,Travel_Frequently,Sales,1,1,3,Single,5473,3,2,4,No
29,Male,Travel_Rarely,Research & Development,2,3,2,Married,2703,4,3,5,No
31,Male,Travel_Rarely,Research & Development,1,4,2,Single,2501,3,3,1,No
32,Male,Travel_Rarely,Research & Development,1,3,2,Married,6220,3,3,10,No
36,Female,Travel_Rarely,Research & Development,6,3,4,Married,3038,3,3,1,No
31,Female,Travel_Rarely,Research & Development,8,4,4,Single,4424,4,3,11,No
35,Male,Travel_Rarely,Sales,1,4,1,Single,4312,3,3,15,No
45,Male,Travel_Rarely,Research & Development,6,4,1,Married,13245,3,4,0,No
37,Male,Travel_Rarely,Research & Development,7,4,3,Single,13664,3,4,5,No
46,Male,Travel_Rarely,Human Resources,5,2,2,Divorced,5021,4,3,4,No
30,Male,Travel_Rarely,Research & Development,1,1,4,Married,5126,3,2,10,No
35,Male,Travel_Rarely,Research & Development,1,3,3,Single,2859,3,3,6,No
55,Male,Travel_Rarely,Sales,1,2,4,Married,10239,3,3,1,No
38,Female,Non-Travel,Research & Development,6,3,4,Divorced,5329,3,3,13,No
34,Male,Travel_Rarely,Research & Development,1,2,2,Married,4325,3,3,5,No
56,Male,Travel_Rarely,Research & Development,7,3,4,Single,7260,3,2,6,No
23,Male,Travel_Rarely,Sales,2,1,1,Divorced,2322,3,3,0,No
51,Male,Travel_Rarely,Research & Development,9,4,4,Married,2075,4,3,4,No
30,Male,Travel_Rarely,Research & Development,2,3,4,Married,4152,3,3,11,No
46,Male,Travel_Rarely,Sales,9,2,4,Single,9619,3,3,9,Yes
40,Male,Travel_Frequently,Research & Development,1,4,2,Married,13503,4,2,22,No
51,Male,Travel_Rarely,Sales,21,4,4,Single,5441,4,1,10,No
